id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
89,6/29/16 20:55,26,3,1200,5,1,39975.51,,18025.5,7585,22413.3,7585
90,6/29/16 21:00,24,5,1600,3,3,37675.49,,17319.5,4613.5,26309.1,4613.5
91,6/29/16 21:04,13,2,1300,5,1,7392.29,,6450.5,3040,14546.6,3040
92,6/29/16 21:15,23,6,1350,7,1,38405.93,,42389.5,20367.5,25057.1,20367.5
93,6/29/16 21:30,24,6,1100,3,3,94397.42,,27481,11130,44808.6,11130
94,6/29/16 21:35,26,4,1000,5,1,31603.16,,12439.5,6660.5,12562.3,6660.5
95,6/29/16 21:43,13,3,1600,5,1,8615.79,,10185.5,4618.5,19683.8,4618.5
96,6/29/16 21:50,23,7,1100,7,1,27689.05,,36974,16653.1,19242.5,16653.1
97,6/29/16 22:00,24,7,1100,3,3,56500.61,,29641.5,13081,52414.8,13081
98,6/29/16 22:10,26,5,1000,5,1,41272.74,,20064.5,7340,20029,7340
99,6/29/16 22:18,13,4,2200,5,1,17658.22,,11594.5,4319,20285.1,4319
100,6/29/16 22:25,23,8,1350,7,1,39364.16,,44174.5,17968.1,24713.4,17968.1
101,6/29/16 22:30,24,8,1600,3,3,21880.02,,28627,13735.5,54356.5,13735.5
102,6/29/16 22:45,26,6,1609,5,1,20957.89,,21622.5,9641,24884.4,9641
103,6/29/16 22:57,13,5,2200,5,1,12442.25,,19878.5,6703.5,27967.8,6703.5
104,6/29/16 23:35,13,6,1100,5,1,14192.08,,21064,7939.5,35048.6,7939.5
105,6/30/16 0:15,13,7,1100,5,1,10960.04,,18854.5,8475.5,30412.4,8475.5
106,6/30/16 0:50,13,8,1300,5,1,16358.99,,21380,8372,46761.4,8372
107,6/30/16 18:00,28,1,1400,6,2,12523.31,,11448.5,3617,8771.62,3617
108,6/30/16 18:20,29,1,1000,8,1,24728.94,,11647.5,4843,6289.59,4843
109,6/30/16 18:35,28,2,1600,6,2,14904.08,,14662.5,5212.5,8534.5,5212.5
110,6/30/16 18:43,30,1,1200,7,1,23407.47,,8357.5,3142.5,7516.08,3142.5
111,6/30/16 18:55,29,2,1280,8,1,9359.36,,11987,6146,7805.79,6146
112,6/30/16 19:10,28,3,1300,6,2,19518.49,,10611.5,2896.5,8641.11,2896.5
