id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
209,2016-07-01 21:53:00,19,3,1300,5,1,29672.18,,31171.5,9641.5,41768.3,9641.5
210,2016-07-01 21:57:00,40,7,2400,7,1,159917.85,,129052.0,51000.5,73559.9,51000.5
211,2016-07-01 22:01:00,44,6,1300,6,1,4474.21,,18199.5,6374.0,10885.7,6374.0
212,2016-07-01 22:05:00,36,8,2000,6,2,127235.35,,132740.0,61157.0,183052.0,61157.0
213,2016-07-01 22:07:00,47,3,1435,9,1,1151.5,,3053.5,733.0,11263.6,733.0
214,2016-07-01 22:09:00,37,8,1350,5,1,9701.17,,34992.5,12382.5,11983.0,12382.5
215,2016-07-01 22:13:00,41,7,1050,8,2,49916.37,,44871.0,18324.0,31915.6,18324.0
216,2016-07-01 22:15:00,45,6,1600,1,1,1727.72,,9605.5,2584.8,4200.5,2584.8
217,2016-07-01 22:17:00,42,7,1200,5,1,3954.1,,19108.5,6675.0,14272.0,6675.0
218,2016-07-01 22:19:00,46,6,1100,4,1,810.03,,2366.5,519.0,2661.0,519.0
219,2016-07-01 22:21:00,43,7,1200,3,2,11786.88,,12100.0,5304.0,24288.2,5304.0
220,2016-07-01 22:25:00,38,9,1500,7,1,100126.74,,198572.0,91165.5,71192.2,91165.5
221,2016-07-01 22:29:00,19,4,1600,5,1,30542.65,,18147.5,7607.5,47811.6,7607.5
222,2016-07-01 22:33:00,40,8,1300,7,1,41271.85,,91950.5,37200.0,42793.1,37200.0
223,2016-07-01 22:37:00,44,7,1000,6,1,2432.96,,13452.0,4225.5,6021.63,4225.5
224,2016-07-01 22:40:00,36,9,1200,6,2,134937.08,,170544.0,74902.5,216966.0,74902.5
225,2016-07-01 22:44:00,47,4,1200,9,1,803.07,,2858.0,672.5,9574.89,672.5
226,2016-07-01 22:45:00,39,8,1800,5,1,4241.08,,12059.0,4597.5,7395.44,4597.5
227,2016-07-01 22:51:00,41,8,1200,8,2,72451.79,,82030.0,29291.5,62523.4,29291.5
228,2016-07-01 22:55:00,46,7,1100,4,1,564.61,,8146.0,2607.0,7233.0,2607.0
229,2016-07-01 23:05:00,19,5,2000,5,1,38107.78,,51263.0,17731.0,79068.1,17731.0
